feature,coefficient,lambda,fold
poly_scale_cont__cylinders,0.22541209278402888,1.0,10
poly_scale_cont__displacement,-0.21189416390067145,1.0,10
poly_scale_cont__horsepower,0.5024498439608788,1.0,10
poly_scale_cont__weight,-1.6823974518229465,1.0,10
poly_scale_cont__acceleration,-2.6926417789932184,1.0,10
poly_scale_cont__model_year,0.2879350262146725,1.0,10
poly_scale_cont__cylinders^2,-0.5067953597281546,1.0,10
poly_scale_cont__cylinders displacement,0.2888790357751474,1.0,10
poly_scale_cont__cylinders horsepower,1.4472627189972918,1.0,10
poly_scale_cont__cylinders weight,2.2184791409335056,1.0,10
poly_scale_cont__cylinders acceleration,1.3143976720494015,1.0,10
poly_scale_cont__cylinders model_year,-2.3043436907765993,1.0,10
poly_scale_cont__displacement^2,0.14313528716583765,1.0,10
poly_scale_cont__displacement horsepower,0.7106456633279115,1.0,10
poly_scale_cont__displacement weight,2.382007433203896,1.0,10
poly_scale_cont__displacement acceleration,-0.49110095041051555,1.0,10
poly_scale_cont__displacement model_year,-1.9033445852020354,1.0,10
poly_scale_cont__horsepower^2,0.7946830547458994,1.0,10
poly_scale_cont__horsepower weight,0.9798003797093079,1.0,10
poly_scale_cont__horsepower acceleration,-0.9145075455332722,1.0,10
poly_scale_cont__horsepower model_year,-3.676335928079399,1.0,10
poly_scale_cont__weight^2,1.7112833233335514,1.0,10
poly_scale_cont__weight acceleration,-1.472662383504742,1.0,10
poly_scale_cont__weight model_year,-4.323507933169057,1.0,10
poly_scale_cont__acceleration^2,1.170800245306927,1.0,10
poly_scale_cont__acceleration model_year,2.3896231392553995,1.0,10
poly_scale_cont__model_year^2,3.738676527949454,1.0,10
onehot_passthrough__origin_europe,0.4914197648886405,1.0,10
onehot_passthrough__origin_japan,0.4795883152715046,1.0,10
onehot_passthrough__origin_usa,-0.9710080801618933,1.0,10
intercept,23.844682066180592,1.0,10
poly_scale_cont__cylinders,-0.6223542426243852,0.1,1
poly_scale_cont__displacement,-0.35272690680725527,0.1,1
poly_scale_cont__horsepower,5.707496839359026,0.1,1
poly_scale_cont__weight,-2.7769419440042626,0.1,1
poly_scale_cont__acceleration,-8.112672121587126,0.1,1
poly_scale_cont__model_year,-10.794836092560903,0.1,1
poly_scale_cont__cylinders^2,-4.37293869747432,0.1,1
poly_scale_cont__cylinders displacement,-2.611864318824287,0.1,1
poly_scale_cont__cylinders horsepower,6.514012530000311,0.1,1
poly_scale_cont__cylinders weight,3.9688314128258075,0.1,1
poly_scale_cont__cylinders acceleration,3.759331800073194,0.1,1
poly_scale_cont__cylinders model_year,-3.014658870479768,0.1,1
poly_scale_cont__displacement^2,-2.378099063541998,0.1,1
poly_scale_cont__displacement horsepower,0.016606930954053783,0.1,1
poly_scale_cont__displacement weight,6.935276373608766,0.1,1
poly_scale_cont__displacement acceleration,-4.281570073069212,0.1,1
poly_scale_cont__displacement model_year,4.352977299084315,0.1,1
poly_scale_cont__horsepower^2,-0.7793200385966692,0.1,1
poly_scale_cont__horsepower weight,-4.693857542023821,0.1,1
poly_scale_cont__horsepower acceleration,-0.34627856081264113,0.1,1
poly_scale_cont__horsepower model_year,-6.68792550173812,0.1,1
poly_scale_cont__weight^2,5.138072192189382,0.1,1
poly_scale_cont__weight acceleration,-0.7998554843996252,0.1,1
poly_scale_cont__weight model_year,-7.5629451483549435,0.1,1
poly_scale_cont__acceleration^2,1.7603590217375031,0.1,1
poly_scale_cont__acceleration model_year,6.635030030940515,0.1,1
poly_scale_cont__model_year^2,14.423503756881967,0.1,1
onehot_passthrough__origin_europe,0.7714513633034638,0.1,1
onehot_passthrough__origin_japan,0.24505068688292295,0.1,1
onehot_passthrough__origin_usa,-1.016502050188826,0.1,1
intercept,23.996327837144857,0.1,1
poly_scale_cont__cylinders,0.39395263061716024,0.1,2
poly_scale_cont__displacement,-2.7690139474746083,0.1,2
poly_scale_cont__horsepower,2.8024883365599282,0.1,2
poly_scale_cont__weight,-2.5050031165962947,0.1,2
poly_scale_cont__acceleration,-10.13989961273465,0.1,2
poly_scale_cont__model_year,-8.05127761378834,0.1,2
poly_scale_cont__cylinders^2,-5.022179464441724,0.1,2
poly_scale_cont__cylinders displacement,-0.42986709964791237,0.1,2
poly_scale_cont__cylinders horsepower,7.006770847803797,0.1,2
poly_scale_cont__cylinders weight,4.54782452927313,0.1,2
poly_scale_cont__cylinders acceleration,3.5033442515909337,0.1,2
poly_scale_cont__cylinders model_year,-3.8557779266089263,0.1,2
poly_scale_cont__displacement^2,-2.334076184401543,0.1,2
poly_scale_cont__displacement horsepower,-0.12453678459997854,0.1,2
poly_scale_cont__displacement weight,8.233819538191474,0.1,2
poly_scale_cont__displacement acceleration,-2.9998887019529707,0.1,2
poly_scale_cont__displacement model_year,2.7447387856959047,0.1,2
poly_scale_cont__horsepower^2,0.5812428959363813,0.1,2
poly_scale_cont__horsepower weight,-5.777530170579812,0.1,2
poly_scale_cont__horsepower acceleration,-0.030280692405220973,0.1,2
poly_scale_cont__horsepower model_year,-5.33937190071808,0.1,2
poly_scale_cont__weight^2,3.3529469978237754,0.1,2
poly_scale_cont__weight acceleration,-1.3560598521269884,0.1,2
poly_scale_cont__weight model_year,-5.895206001569175,0.1,2
poly_scale_cont__acceleration^2,2.7988519420798967,0.1,2
poly_scale_cont__acceleration model_year,7.6458444127399945,0.1,2
poly_scale_cont__model_year^2,11.217076792061663,0.1,2
onehot_passthrough__origin_europe,0.6791344709070017,0.1,2
onehot_passthrough__origin_japan,0.11354334724481198,0.1,2
onehot_passthrough__origin_usa,-0.7926778181512315,0.1,2
intercept,23.911112773933056,0.1,2
poly_scale_cont__cylinders,-0.26783380660323347,0.1,3
poly_scale_cont__displacement,-0.6895302818076116,0.1,3
poly_scale_cont__horsepower,4.1155202950514544,0.1,3
poly_scale_cont__weight,-2.1419852316631496,0.1,3
poly_scale_cont__acceleration,-8.077964284108148,0.1,3
poly_scale_cont__model_year,-9.680319802579113,0.1,3
poly_scale_cont__cylinders^2,-4.527858432772124,0.1,3
poly_scale_cont__cylinders displacement,-1.119067794323184,0.1,3
poly_scale_cont__cylinders horsepower,5.385732564173045,0.1,3
poly_scale_cont__cylinders weight,5.434908906096667,0.1,3
poly_scale_cont__cylinders acceleration,4.207414413210154,0.1,3
poly_scale_cont__cylinders model_year,-4.169233432266914,0.1,3
poly_scale_cont__displacement^2,-1.0476542458183624,0.1,3
poly_scale_cont__displacement horsepower,-1.2974717741222712,0.1,3
poly_scale_cont__displacement weight,6.928778563007233,0.1,3
poly_scale_cont__displacement acceleration,-3.8290670453533795,0.1,3
poly_scale_cont__displacement model_year,2.4353534646501935,0.1,3
poly_scale_cont__horsepower^2,0.5304333312190548,0.1,3
poly_scale_cont__horsepower weight,-4.598570060063177,0.1,3
poly_scale_cont__horsepower acceleration,-0.202213760786234,0.1,3
poly_scale_cont__horsepower model_year,-5.457996140793422,0.1,3
poly_scale_cont__weight^2,2.85400149355114,0.1,3
poly_scale_cont__weight acceleration,-1.4880605707655685,0.1,3
poly_scale_cont__weight model_year,-5.983305278770502,0.1,3
poly_scale_cont__acceleration^2,2.515340255543386,0.1,3
poly_scale_cont__acceleration model_year,5.91954839750074,0.1,3
poly_scale_cont__model_year^2,13.321441395719706,0.1,3
onehot_passthrough__origin_europe,0.6007423507049245,0.1,3
onehot_passthrough__origin_japan,0.4342408523270635,0.1,3
onehot_passthrough__origin_usa,-1.0349832030221782,0.1,3
intercept,23.855970648438056,0.1,3
poly_scale_cont__cylinders,-2.222423442891001,0.1,4
poly_scale_cont__displacement,-3.3217785775125517,0.1,4
poly_scale_cont__horsepower,4.948266308682934,0.1,4
poly_scale_cont__weight,-2.2780714221221734,0.1,4
poly_scale_cont__acceleration,-8.41366497129691,0.1,4
poly_scale_cont__model_year,-8.096855833971958,0.1,4
poly_scale_cont__cylinders^2,-3.975205994356967,0.1,4
poly_scale_cont__cylinders displacement,-1.2781224318081983,0.1,4
poly_scale_cont__cylinders horsepower,6.1777654954042625,0.1,4
poly_scale_cont__cylinders weight,6.19435786933138,0.1,4
poly_scale_cont__cylinders acceleration,3.1034095221569413,0.1,4
poly_scale_cont__cylinders model_year,-2.5063085141486776,0.1,4
poly_scale_cont__displacement^2,-0.7225776130578776,0.1,4
poly_scale_cont__displacement horsepower,-1.7016597234845177,0.1,4
poly_scale_cont__displacement weight,7.5118012140659,0.1,4
poly_scale_cont__displacement acceleration,-1.6103811722463055,0.1,4
poly_scale_cont__displacement model_year,2.467012001896586,0.1,4
poly_scale_cont__horsepower^2,0.612265871485553,0.1,4
poly_scale_cont__horsepower weight,-4.86662431825556,0.1,4
poly_scale_cont__horsepower acceleration,-1.013297460680489,0.1,4
poly_scale_cont__horsepower model_year,-5.570615876207924,0.1,4
poly_scale_cont__weight^2,2.857177961678868,0.1,4
poly_scale_cont__weight acceleration,-0.7892272983658359,0.1,4
poly_scale_cont__weight model_year,-7.136163029786103,0.1,4
poly_scale_cont__acceleration^2,3.2237982091668864,0.1,4
poly_scale_cont__acceleration model_year,5.316124804021497,0.1,4
poly_scale_cont__model_year^2,11.824004772276687,0.1,4
onehot_passthrough__origin_europe,0.6979555861080635,0.1,4
onehot_passthrough__origin_japan,0.16656414206773038,0.1,4
onehot_passthrough__origin_usa,-0.8645197281804405,0.1,4
intercept,23.844111075600967,0.1,4
